id,city,raion,address,lat,lon,workinghours,mintime,pAddress
76,თბილისი,საბურთალო,ვაჟა-ფშაველა 27,41.72687703,44.75940124,09:00-18:00,15,
77,თბილისი,საბურთალო,ვაჟა-ფშაველა 27 -29,41.72675292,44.75817891,09:00-18:00,15,
78,თბილისი,საბურთალო,ვაჟა-ფშაველა 20,41.72660179,44.75713612,09:00-18:00,15,
79,თბილისი,საბურთალო,ვაჟა-ფშაველა 26,41.72634455,44.75442708,09:00-18:00,15,
80,თბილისი,საბურთალო,ვაჟა-ფშაველა 30ა,41.7260623,44.75145997,09:00-18:00,15,
81,თბილისი,საბურთალო,ვაჟა-ფშაველა 36,41.72583208,44.74914045,09:00-18:00,15,
82,თბილისი,საბურთალო,ვაჟა-ფშაველა 39,41.72568895,44.74721425,09:00-18:00,15,
83,თბილისი,საბურთალო,ვაჟა-ფშაველა44,41.72556684,44.74660539,09:00-18:00,15,
84,თბილისი,საბურთალო,ვაჟა-ფშაველა 45 (დელისის მეტრო),41.72536866,44.74413641,09:00-18:00,15,
85,თბილისი,საბურთალო,ვაჟა-ფშაველა 47 (ბიბლუსთან),41.72521251,44.74231289,09:00-18:00,15,
86,თბილისი,საბურთალო,მარი ჯანის 1,41.72427464,44.72948925,09:00-18:00,15,
87,თბილისი,საბურთალო,ვაჟა-ფშაველა 78,41.72384824,44.72667389,09:00-18:00,15,
88,თბილისი,საბურთალო,კოსტავას 63-65,41.71401917,44.78120224,09:00-18:00,15,ართთაიმთან
89,თბილისი,საბურთალო,კოსტავას 67 69,41.71507132,44.77955075,09:00-18:00,15,
90,თბილისი,საბურთალო,კოსტავას1 (ზოოპარკი),41.71343453,44.78098095,09:00-18:00,15,
91,თბილისი,საბურთალო,პეკინის 1 3,41.71845889,44.77775903,09:00-18:00,15,
92,თბილისი,საბურთალო,პეკინის 5,41.72004051,44.77627041,09:00-18:00,15,
93,თბილისი,საბურთალო,პეკინის7 7 ა,41.72050798,44.77573724,09:00-18:00,15,
94,თბილისი,საბურთალო,პეკინის 13 15,41.72201948,44.77409937,09:00-18:00,15,
95,თბილისი,საბურთალო,პეკინის 9 11,41.72142589,44.77471263,09:00-18:00,15,
96,თბილისი,საბურთალო,პეკინის 17,41.72293436,44.77311538,09:00-18:00,15,
97,თბილისი,საბურთალო,პეკინის 19 21,41.72351392,44.77255287,09:00-18:00,15,
98,თბილისი,საბურთალო,პეკინის 23 25,41.72453488,44.77145316,09:00-18:00,15,
99,თბილისი,საბურთალო,პ ქავთარაძის 9,41.72118265,44.72861619,09:00-18:00,15,
100,თბილისი,საბურთალო,პეკინის 29 31,41.72642062,44.76954075,09:00-18:00,15,
101,თბილისი,საბურთალო,ქავთარაძის 16 (ლეჩკომბინატთან),41.72145392,44.73153653,09:00-18:00,15,
102,თბილისი,საბურთალო,მარი ჯანის ქ 4,41.72308751,44.72984062,09:00-18:00,15,
103,თბილისი,საბურთალო,პეკინის2,41.7173938,44.77851542,09:00-18:00,15,
104,თბილისი,საბურთალო,ყაზბეგის 44,41.72357598,44.73971458,09:00-18:00,15,
105,თბილისი,საბურთალო,პეკინის 4 8,41.71990237,44.77616044,09:00-18:00,15,
106,თბილისი,საბურთალო,ყაზბეგის 49,41.72386725,44.74185423,09:00-18:00,15,
107,თბილისი,საბურთალო,პეკინის8 10,41.72047895,44.77547111,09:00-18:00,15,
108,თბილისი,საბურთალო,ყაზბეგის 30,41.72392931,44.74325971,09:00-18:00,15,
109,თბილისი,საბურთალო,პეკინის 14,41.72198845,44.77392884,09:00-18:00,15,
