city,raion,address,lat,lon,workinghours,mintime
თბილისი,საბურთალო,ვაჟა ფშაველალ 10 12,41.72709123,44.76271452,09:00-18:00,15
თბილისი,ვაკე,მელიქიშვილის 12,41.70784708,44.78320928,09:00-18:00,15
თბილისი,ვაკე,მელიქიშვილის 10,41.70752069,44.78397103,09:00-18:00,15
თბილისი,ვაკე,ფილარმონიასთან,41.70700007,44.78680076,09:00-18:00,15
თბილისი,მთაწმინდა,რუსთაველზე მაგდონალდთან,41.70337558,44.79026349,09:00-18:00,15
თბილისი,მთაწმინდა,ვეკუას 3 ჯთს,41.69773219,44.80361821,09:00-18:00,15
თბილისი,მთაწმინდა,თავისუფლებაზე ყვავილებთან,41.69717543,44.80336072,09:00-18:00,15
თბილისი,მთაწმინდა,შარდენზე კოტე აფხაზის 44,41.69017552,44.80843814,09:00-18:00,15
თბილისი,ისანი,ავლაბარი მეტროს უკან,41.69294153,44.81523754,09:00-18:00,15
თბილისი,ორთაჭალა,გორგასლის9 11,41.68862522,44.8147306,09:00-18:00,15
თბილისი,ორთაჭალა,გორგასლის19 25,41.68825266,44.81688173,09:00-18:00,15
თბილისი,ორთაჭალა,გორგასლის25 27,41.68805437,44.81764616,09:00-18:00,15
თბილისი,საბურთალო,ხეთაგუროვი,41.70048586,44.8084891,09:00-18:00,15
თბილისი,საბურთალო,ხეთაგუროვი,41.70156126,44.80769517,09:00-18:00,15
თბილისი,სამგორი,ვარკეთილი ყვავილებთან,41.68974689,44.87093361,09:00-18:00,15
თბილისი,სამგორი,ჯავახეთის ქ,41.68887359,44.87071367,09:00-18:00,15
თბილისი,დიდუბე ჩუღურეთი,"ვაგზალი ,თბილისი ცენტრალი",41.72091439,44.79837776,09:00-18:00,15
თბილისი,ვაგზალი,"ვაგზალი ,გადასასვლელი ხიდთან",41.72345386,44.80015875,09:00-18:00,15
თბილისი,დიდუბე,თორნიკე ერისთავის ქ.საბას მიმდებარედ,41.74994567,44.78914233,09:00-18:00,15
თბილისი,თემქა,გურამიშვილის1 3,41.75147648,44.79009451,09:00-18:00,15
თბილისი,თემქა,გურამიშვილის 9 15,41.75562749,44.78846432,09:00-18:00,15
თბილისი,სანზონა,მეტრო ღრმაღელესთან,41.76552021,44.79004623,09:00-18:00,15
თბილისი,თემქა,გურამიშვილის 12 12 ა,41.75529234,44.78812845,09:00-18:00,15
თბილისი,თემქა,გურამიშვილის 28 30,41.76196705,44.78816601,09:00-18:00,15
თბილისი,თემქა,გურამიშვილის 25 29,41.77105963,44.7934285,09:00-18:00,15
თბილისი,გლდანი,მეტრო გურამიშვილთან,41.77451427,44.79502441,09:00-18:00,15
თბილისი,გლდანი,გლდანში შეშელიძეზე,41.79038682,44.81442751,09:00-18:00,15
თბილისი,გლდანი,გლდანში ხიზანიშვილზე თიშების მოპირდაპირედ,41.79107476,44.81548967,09:00-18:00,15
თბილისი,გლდანი,გლდანი მუხიანის გზაზე,41.79080278,44.81707485,09:00-18:00,15
თბილისი,გლდანი,გლდანი მუხიანის გზის მოპირდაპირედ,41.79108676,44.81749596,09:00-18:00,15
თბილისი,საბურთალო,მეტრო პოლიტექნიკური(მორკინალთან),41.72210656,44.77801653,09:00-18:00,15
თბილისი,ვაკე,ფალიაშვილის 30 (ბაზალეთის ქ-ის კვეთა),41.70797123,44.77237852,09:00-18:00,15
თბილისი,საბურთალო,პეკინის 41,41.73067434,44.76787241,09:00-18:00,15
თბილისი,საბურთალო,ყაზბეგის 21,41.72556784,44.75851418,09:00-18:00,15
თბილისი,ვაგზალი,თამარ მეფის9,41.71889535,44.79279013,09:00-18:00,15
თბილისი,ვაგზალი,თამარ მეფის 23,41.72025273,44.79626628,09:00-18:00,15
თბილისი,ვაგზალი,თამარ მეფის 32,41.72085733,44.7975296,09:00-18:00,15
თბილისი,ვაგზალი,თამარ მეფის ხიდთან,41.71752794,44.78862198,09:00-18:00,15
თბილისი,მთაწმინდა,თავისუფლების მოედანი 3,41.69350032,44.80210964,09:00-18:00,15
თბილისი,ჩუღურეთი,აღმაშენებლის გამზირი 150,41.71741982,44.79137929,09:00-18:00,15
თბილისი,ჩუღურეთი,მარჯანიშვილის 26,41.71004968,44.79825379,09:00-18:00,15
თბილისი,სამგორი,ჯავახეთის ქ 3,41.69320791,44.87075122,09:00-18:00,15
თბილისი,სამგორი,ჯავახეთის ქ 1,41.68784004,44.87067344,09:00-18:00,15
თბილისი,სამგორი,ჯავახეთის ქ 4,41.69276327,44.87057688,09:00-18:00,15
თბილისი,სამგორი,ჯავახეთის ქ 2,41.69233266,44.87057419,09:00-18:00,15
თბილისი,სამგორი,ჯავახეთის 24,41.69296957,44.8707995,09:00-18:00,15
თბილისი,დიდუბე,წერეთლის 1,41.72404442,44.79092868,09:00-18:00,15
თბილისი,დიდუბე,წერეთლის 9,41.72520951,44.79015084,09:00-18:00,15
თბილისი,დიდუბე,წერეთლის 8 10,41.72566193,44.78963586,09:00-18:00,15
თბილისი,დიდუბე,წერეთლის 2,41.72492525,44.79010792,09:00-18:00,15
თბილისი,დიდუბე,წერეთლის 60,41.73263396,44.78457989,09:00-18:00,15
თბილისი,დიდუბე,წერეთლის 8,41.72559387,44.78956344,09:00-18:00,15
თბილისი,ვაკე,ჭავჭავაძის 33,41.71019585,44.76441236,09:00-18:00,15
თბილისი,ვაკე,ჭავჭავაძის 78,41.71181371,44.75237461,09:00-18:00,15
თბილისი,გლდანი,"გლდანი ,მ ახმეტელთან",41.7906768,44.81731148,09:00-18:00,15
თბილისი,გლდანი,გლდანი მე-2 მ/რ ბანკ რესპუბლიკასთან,41.79448833,44.81731357,09:00-18:00,15
